Year,Country,Population,Population Percentage
1995,Belarus,804.0,0.010550312986057447
2000,Belarus,1332.0,0.016673745497807067
2005,Belarus,1573.0,0.01771701855353665
2010,Belarus,1814.0,0.01684602795456253
2015,Belarus,2152.0,0.017372323112293662
2020,Belarus,2407.0,0.01702639133098491
1990,Belgium,3939.0,0.05382249725729354
1995,Belgium,4190.0,0.05498235250196604
2000,Belgium,4147.0,0.051911428362917345
2005,Belgium,4517.0,0.050875888624491446
2010,Belgium,5142.0,0.04775208144562322
2015,Belgium,5803.0,0.046845534860892254
2020,Belgium,6469.0,0.04575975302041604
1990,Belize,34.0,0.0004645760108524956
1995,Belize,17.0,0.00022307875716788133
2000,Belize,50.0,0.0006258913475152803
2005,Belize,60.0,0.0006757921889460897
2010,Belize,60.0,0.000557200483612873
2015,Belize,80.0,0.0006458112681150061
2020,Belize,85.0,0.000601264338651316
1990,Benin,17.0,0.0002322880054262478
1995,Benin,13.0,0.0001705896378342622
2000,Benin,30.0,0.0003755348085091681
2005,Benin,30.0,0.00033789609447304486
2010,Benin,80.0,0.0007429339781504974
2015,Benin,110.0,0.0008879904936581333
2020,Benin,117.0,0.0008276226779082821
1990,Bermuda,314.0,0.0042904961002259885
1995,Bermuda,348.0,0.004566553382024865
2000,Bermuda,367.0,0.004594042490762156
2005,Bermuda,390.0,0.004392649228149584
2010,Bermuda,418.0,0.0038818300358363493
2015,Bermuda,447.0,0.003608470460592596
2020,Bermuda,447.0,0.0031619430514957443
1990,Bhutan,13.0,0.00017763200414948362
1995,Bhutan,18.0,0.0002362010370012861
2000,Bhutan,53.0,0.000663444828366197
2005,Bhutan,109.0,0.0012276891432520631
2010,Bhutan,1665.0,0.015462313420257228
2015,Bhutan,5823.0,0.047006987677921004
2020,Bhutan,7910.0,0.05595295198508129
1990,Bolivia,435.0,0.0059438401388481055
1995,Bolivia,507.0,0.006652995875536225
2000,Bolivia,546.0,0.00683473351486686
2005,Bolivia,595.0,0.006701605873715389
2010,Bolivia,664.0,0.006166352018649129
2015,Bolivia,821.0,0.006627638139030249
2020,Bolivia,930.0,0.006578539234655575
1990,Saba,0.0,0.0
1995,Saba,0.0,0.0
2000,Saba,0.0,0.0
2005,Saba,0.0,0.0
2010,Saba,0.0,0.0
2015,Saba,0.0,0.0
2020,Saba,0.0,0.0
1990,Herzegovina,22312.0,0.3048711751217906
1995,Herzegovina,26278.0,0.34482726946221093
2000,Herzegovina,28650.0,0.3586357421262556
2005,Herzegovina,38394.0,0.4324394217066028
2010,Herzegovina,39730.0,0.3689595868989908
2015,Herzegovina,36750.0,0.29666955129033096
2020,Herzegovina,38485.0,0.27223127144701054
1990,Botswana,33.0,0.00045091201053330457
1995,Botswana,302.0,0.003962928509688245
2000,Botswana,556.0,0.006959911784369916
2005,Botswana,745.0,0.008391086346080615
2010,Botswana,782.0,0.0072621796364211125
2015,Botswana,953.0,0.00769322673142001
2020,Botswana,1148.0,0.008120605420843656
1990,Brazil,2629.0,0.035922656839153265
1995,Brazil,3588.0,0.04708274004225636
2000,Brazil,4303.0,0.05386420936716502
2005,Brazil,7010.0,0.07895505407520148
2010,Brazil,15965.0,0.14826176201465865
2015,Brazil,26101.0,0.21070399886337216
2020,Brazil,42574.0,0.3011556229851897
1990,Islands,-6.0,-8.198400191514628e-05
1995,Islands,-11.0,-0.00014434507816745264
2000,Islands,-16.0,-0.00020028523120488968
2005,Islands,-19.0,-0.0002140008598329284
2010,Islands,-21.0,-0.00019502016926450556
2015,Islands,-24.0,-0.00019374338043450182
2020,Islands,-27.0,-0.00019098984874806507
1990,Brunei,1358.0,0.018555712433461442
1995,Brunei,1539.0,0.02019518866360996
2000,Brunei,1618.0,0.020253844005594466
2005,Brunei,2077.0,0.023393672940683806
2010,Brunei,2536.0,0.023551007107370767
2015,Brunei,2375.0,0.019172522022164244
2020,Brunei,2735.0,0.019346564308368813
1990,Bulgaria,1742.0,0.023802688556030804
1995,Bulgaria,2425.0,0.0318215285960066
2000,Bulgaria,2954.0,0.03697766081120275
2005,Bulgaria,3341.0,0.037630361721148094
2010,Bulgaria,3471.0,0.03223404797700471
2015,Bulgaria,3730.0,0.030110950375862162
2020,Bulgaria,4066.0,0.028761656481838246
1990,Faso,30.0,0.0004099200095757314
1995,Faso,15.0,0.00019683419750107176
2000,Faso,10.0,0.00012517826950305603
2005,Faso,20.0,0.00022526406298202991
2010,Faso,40.0,0.0003714669890752487
2015,Faso,60.0,0.0004843584510862546
2020,Faso,63.0,0.0004456429804121518
1990,Burundi,15.0,0.0002049600047878657
1995,Burundi,7.0,9.185595883383348e-05
2000,Burundi,30.0,0.0003755348085091681
2005,Burundi,430.0,0.004843177354113643
2010,Burundi,1860.0,0.017273214991999065
2015,Burundi,2390.0,0.019293611634935807
2020,Burundi,2789.0,0.019728544005864945
1990,Cambodia,20597.0,0.281437414574378
1995,Cambodia,23168.0,0.30401697918032206
2000,Cambodia,24741.0,0.309703556577511
2005,Cambodia,27427.0,0.3089158727704067
2010,Cambodia,31591.0,0.29337534129690457
2015,Cambodia,34304.0,0.2769238717677146
2020,Cambodia,38846.0,0.2747848764617532
1990,Cameroon,68.0,0.0009291520217049912
1995,Cameroon,55.0,0.0007217253908372632
2000,Cameroon,70.0,0.0008762478865213922
2005,Cameroon,130.0,0.0014642164093831944
2010,Cameroon,270.0,0.002507402176257929
2015,Cameroon,450.0,0.003632688383146909
2020,Cameroon,548.0,0.0038763865597755427
1990,Canada,14062.0,0.19214317248846452
1995,Canada,12045.0,0.15805786059336063
2000,Canada,11511.0,0.14409270602496782
2005,Canada,15191.0,0.1710993190380008
2010,Canada,25560.0,0.23736740601908393
2015,Canada,31610.0,0.25517617731394177
2020,Canada,36112.0,0.25544538585148613
1990,Verde,20.0,0.000273280006383821
1995,Verde,10.0,0.00013122279833404783
2000,Verde,30.0,0.0003755348085091681
2005,Verde,30.0,0.00033789609447304486
2010,Verde,30.0,0.0002786002418064365
2015,Verde,40.0,0.0003229056340575031
2020,Verde,42.0,0.0002970953202747679
1990,Caribbean,2634.0,0.03599097684074922
1995,Caribbean,3301.0,0.04331664573006919
2000,Caribbean,3976.0,0.049770879954415086
2005,Caribbean,4360.0,0.04910756573008252
2010,Caribbean,4870.0,0.04522610591991153
2015,Caribbean,5685.0,0.045892963240422614
2020,Caribbean,6184.0,0.04374374906140868
1990,Islands.2,-20.0,-0.000273280006383821
1995,Islands.2,-44.0,-0.0005773803126698106
2000,Islands.2,-57.0,-0.0007135161361674194
2005,Islands.2,-79.0,-0.0008897930487790181
2010,Islands.2,-93.0,-0.0008636607495999533
2015,Islands.2,-57.0,-0.0004601405285319418
2020,Islands.2,-48.0,-0.000339537508885449
1990,Republic,-3.0,-4.099200095757314e-05
1995,Republic,-10.0,-0.00013122279833404783
2000,Republic,-6.0,-7.510696170183363e-05
2005,Republic,-3.0,-3.378960944730449e-05
2010,Republic,7.0,6.500672308816852e-05
2015,Republic,20.0,0.00016145281702875154
2020,Republic,32.0,0.00022635833925696602
1990,Chad,15.0,0.0002049600047878657
1995,Chad,12.0,0.00015746735800085742
2000,Chad,40.0,0.0005007130780122241
2005,Chad,40.0,0.00045052812596405983
2010,Chad,60.0,0.000557200483612873
2015,Chad,70.0,0.0005650848596006304
2020,Chad,63.0,0.0004456429804121518
1990,Islands.4,0.0,0.0
1995,Islands.4,0.0,0.0
2000,Islands.4,0.0,0.0
2005,Islands.4,0.0,0.0
2010,Islands.4,0.0,0.0
2015,Islands.4,0.0,0.0
2020,Islands.4,0.0,0.0
1990,Chile,29145.0,0.3982372893028231
1995,Chile,27782.0,0.3645631783316517
2000,Chile,26080.0,0.3264649268639701
2005,Chile,26866.0,0.30259721580376076
2010,Chile,28280.0,0.26262716127620084
2015,Chile,30180.0,0.24363230089638602
2020,Chile,34316.0,0.24274102406068895
1990,China,96915.0,1.3242465909344003
1995,China,107232.0,1.4071283110956618
2000,China,143035.0,1.790487377836962
2005,China,225169.0,2.5361241898800344
2010,China,368529.0,3.4224089504228083
2015,China,505144.0,4.077846090258583
2020,China,649180.0,4.592103333713663
1990,Colombia,2106.0,0.028776384672216347
1995,Colombia,3146.0,0.04128269235589145
2000,Colombia,4000.0,0.05007130780122242
2005,Colombia,5810.0,0.06543921029627969
2010,Colombia,12410.0,0.11524763336059592
2015,Colombia,19810.0,0.15991901526697838
2020,Colombia,28338.0,0.20045445680824694
1990,Comoros,0.0,0.0
1995,Comoros,0.0,0.0
2000,Comoros,0.0,0.0
2005,Comoros,0.0,0.0
2010,Comoros,0.0,0.0
2015,Comoros,0.0,0.0
2020,Comoros,0.0,0.0
1990,Congo,134.0,0.0018309760427716005
1995,Congo,130.0,0.0017058963783426221
2000,Congo,130.0,0.0016273175035397284
2005,Congo,710.0,0.007996874235862062
2010,Congo,1030.0,0.009565274968687655
2015,Congo,1610.0,0.012996951770814499
2020,Congo,1884.0,0.013326847223753872
1990,Islands.6,2180.0,0.029787520695836484
1995,Islands.6,3442.0,0.04516688718657927
2000,Islands.6,4476.0,0.05602979342956789
2005,Islands.6,5230.0,0.05890655246980082
2010,Islands.6,6294.0,0.05845033073099039
2015,Islands.6,7652.0,0.061771847795200334
2020,Islands.6,8319.0,0.05884609450870938
1990,Rica,163.0,0.002227232052028141
1995,Rica,257.0,0.0033724259171850294
2000,Rica,299.0,0.003742830258141376
2005,Rica,346.0,0.003897068289589117
2010,Rica,373.0,0.0034639296731266943
2015,Rica,433.0,0.0034954534886724705
2020,Rica,501.0,0.0035439227489918747
1990,d'Ivoire,0.0,0.0
1995,d'Ivoire,0.0,0.0
2000,d'Ivoire,0.0,0.0
2005,d'Ivoire,0.0,0.0
2010,d'Ivoire,0.0,0.0
2015,d'Ivoire,0.0,0.0
2020,d'Ivoire,0.0,0.0
1990,Croatia,47871.0,0.6541093592799947
1995,Croatia,54272.0,0.7121723711185445
2000,Croatia,57457.0,0.7192367830837091
2005,Croatia,68320.0,0.7695020391466141
2010,Croatia,66905.0,0.6213249726019878
2015,Croatia,60225.0,0.48617479527782803
2020,Croatia,62158.0,0.43968692661045294
1990,Cuba,361.0,0.004932704115227968
1995,Cuba,438.0,0.005747558567031296
2000,Cuba,510.0,0.006384091744655858
2005,Cuba,610.0,0.006870553920951912
2010,Cuba,750.0,0.006965006045160913
2015,Cuba,880.0,0.0071039239492650666
2020,Cuba,990.0,0.0070029611207623865
1990,Curacao,35.0,0.0004782400111716866
1995,Curacao,54.0,0.0007086031110038584
2000,Curacao,90.0,0.0011266044255275043
2005,Curacao,100.0,0.0011263203149101495
2010,Curacao,120.0,0.001114400967225746
2015,Curacao,150.0,0.0012108961277156364
2020,Curacao,160.0,0.00113179169628483
1990,Cyprus,23295.0,0.31830288743555546
1995,Cyprus,22870.0,0.3001065397899674
2000,Cyprus,21455.0,0.2685699772188067
2005,Cyprus,20410.0,0.2298819762731615
2010,Cyprus,18224.0,0.16924036022268332
2015,Cyprus,17230.0,0.13909160187026945
2020,Cyprus,17923.0,0.1267818910782063
1990,Czechia,17704.0,0.24190746165095833
1995,Czechia,15836.0,0.20780442344179817
2000,Czechia,12997.0,0.16269419687312195
2005,Czechia,13429.0,0.15125355508928398
2010,Czechia,13221.0,0.12277912656409658
2015,Czechia,12689.0,0.10243373976389139
2020,Czechia,13344.0,0.09439142747015483
1990,Congo.2,255.0,0.0034843200813937172
1995,Congo.2,291.0,0.0038185834315207926
2000,Congo.2,310.0,0.0038805263545947373
2005,Congo.2,360.0,0.004054753133676538
2010,Congo.2,2470.0,0.02293808657539661
2015,Congo.2,4270.0,0.03447017643563845
2020,Congo.2,5535.0,0.03915291899335334
1990,Denmark,8758.0,0.1196693147954752
1995,Denmark,8696.0,0.11411134543128801
2000,Denmark,8282.0,0.10367264280243102
2005,Denmark,8374.0,0.09431806317057592
2010,Denmark,8150.0,0.07568639902408192
2015,Denmark,7352.0,0.059350055539769055
2020,Denmark,7170.0,0.050718415389763946
1990,Djibouti,34.0,0.0004645760108524956
1995,Djibouti,63.0,0.0008267036295045014
2000,Djibouti,80.0,0.0010014261560244483
2005,Djibouti,120.0,0.0013515843778921794
2010,Djibouti,130.0,0.0012072677144945583
2015,Djibouti,190.0,0.0015338017617731396
2020,Djibouti,214.0,0.0015137713937809602
1990,Dominica,3.0,4.099200095757314e-05
1995,Dominica,-1.0,-1.3122279833404784e-05
2000,Dominica,15.0,0.00018776740425458405
2005,Dominica,15.0,0.00016894804723652243
2010,Dominica,24.0,0.00022288019344514926
2015,Dominica,33.0,0.00026639714809744
2020,Dominica,36.0,0.0002546531316640868
1990,Republic.2,-44.0,-0.0006012160140444061
1995,Republic.2,-33.0,-0.0004330352345023579
2000,Republic.2,-12.0,-0.00015021392340366726
2005,Republic.2,50.0,0.0005631601574550747
2010,Republic.2,101.0,0.0009379541474150031
2015,Republic.2,170.0,0.0013723489447443878
2020,Republic.2,194.0,0.0013722974317453565
1990,Ecuador,960.0,0.013117440306423405
1995,Ecuador,1176.0,0.015431801084084026
2000,Ecuador,1305.0,0.016335764170148814
2005,Ecuador,1464.0,0.016489329410284588
2010,Ecuador,1644.0,0.015267293250992723
2015,Ecuador,2437.0,0.01967302575495337
2020,Ecuador,2560.0,0.01810866714055728
1990,Egypt,40103.0,0.5479674048005186
1995,Egypt,39483.0,0.5181069746623211
2000,Egypt,37256.0,0.4663641608605855
2005,Egypt,38324.0,0.4316509974861657
2010,Egypt,41389.0,0.3843661802708867
2015,Egypt,44377.0,0.3582395830642453
2020,Egypt,48786.0,0.3450974355934483
1990,Salvador,8741.0,0.11943702679004894
1995,Salvador,10001.0,0.13123592061388126
2000,Salvador,10649.0,0.13330233919380435
2005,Salvador,10725.0,0.12079785377411352
2010,Salvador,10934.0,0.10154050146371923
2015,Salvador,11323.0,0.09140651236082767
2020,Salvador,12283.0,0.08688623378416606
1990,Guinea,0.0,0.0
1995,Guinea,0.0,0.0
2000,Guinea,0.0,0.0
2005,Guinea,0.0,0.0
2010,Guinea,0.0,0.0
2015,Guinea,0.0,0.0
2020,Guinea,0.0,0.0
1990,Eritrea,1272.0,0.017380608406011012
1995,Eritrea,1562.0,0.020497001099778273
2000,Eritrea,1780.0,0.022281731971543973
2005,Eritrea,2280.0,0.02568010317995141
2010,Eritrea,3090.0,0.028695824906062962
2015,Eritrea,4660.0,0.0376185063676991
2020,Eritrea,5879.0,0.04158627114036573
1990,Estonia,2731.0,0.03731638487171075
1995,Estonia,2556.0,0.03354054725418263
2000,Estonia,1970.0,0.024660119092102042
2005,Estonia,1660.0,0.01869691722750848
2010,Estonia,2177.0,0.02021709088042041
2015,Estonia,3342.0,0.02697876572550438
2020,Estonia,3666.0,0.025932177241126172
1990,Eswatini,109.0,0.001489376034791824
1995,Eswatini,172.0,0.0022570321313456227
2000,Eswatini,224.0,0.0028039932368684553
2005,Eswatini,240.0,0.002703168755784359
2010,Eswatini,296.0,0.0027488557191568406
2015,Eswatini,335.0,0.002704334685231588
2020,Eswatini,354.0,0.0025040891280301864
1990,Ethiopia,1336.0,0.01825510442643924
1995,Ethiopia,2563.0,0.033632403213016464
2000,Ethiopia,3640.0,0.0455648900991124
2005,Ethiopia,6109.0,0.06880690803786103
2010,Ethiopia,8970.0,0.08330147230012452
2015,Ethiopia,13130.0,0.10599377437937538
2020,Ethiopia,15951.0,0.11283255842149578
1990,Islands.8,17.0,0.0002322880054262478
1995,Islands.8,19.0,0.0002493233168346909
2000,Islands.8,30.0,0.0003755348085091681
2005,Islands.8,40.0,0.00045052812596405983
2010,Islands.8,40.0,0.0003714669890752487
2015,Islands.8,30.0,0.0002421792255431273
2020,Islands.8,20.0,0.00014147396203560375
1990,Islands.10,71.0,0.0009701440226625644
1995,Islands.10,103.0,0.0013515948228406927
2000,Islands.10,120.0,0.0015021392340366724
2005,Islands.10,106.0,0.0011938995338047584
2010,Islands.10,92.0,0.000854374074873072
2015,Islands.10,78.0,0.0006296659864121309
2020,Islands.10,66.0,0.00046686407471749244
1990,Fiji,36166.0,0.4941722355438634
1995,Fiji,38939.0,0.5109684544329489
2000,Fiji,45211.0,0.5659434742502667
2005,Fiji,53055.0,0.5975692430755798
2010,Fiji,62128.0,0.5769625274316763
2015,Fiji,70713.0,0.5708406525277053
2020,Fiji,78919.0,0.5582491804943907
1990,Finland,9266.0,0.12661062695762426
1995,Finland,9154.0,0.12012134959498738
2000,Finland,8868.0,0.11100808939531011
2005,Finland,8715.0,0.09815881544441953
2010,Finland,8604.0,0.07990254935008599
2015,Finland,8175.0,0.06599383896050219
2020,Finland,8534.0,0.060366939600592126
1990,France,11602.0,0.15852973170325452
1995,France,12327.0,0.16175834350638077
2000,France,13925.0,0.17431074028300553
2005,France,15711.0,0.1769561846755336
2010,France,20281.0,0.188343050135878
2015,France,27982.0,0.22588863630492623
2020,France,31921.0,0.2257995171069254
1990,Guiana,6.0,8.198400191514628e-05
1995,Guiana,3.0,3.9366839500214356e-05
2000,Guiana,10.0,0.00012517826950305603
2005,Guiana,10.0,0.00011263203149101496
2010,Guiana,10.0,9.286674726881218e-05
2015,Guiana,20.0,0.00016145281702875154
2020,Guiana,20.0,0.00014147396203560375
1990,Polynesia,173.0,0.002363872055220051
1995,Polynesia,248.0,0.003254325398684386
2000,Polynesia,276.0,0.0034549202382843465
2005,Polynesia,313.0,0.003525382585668768
2010,Polynesia,396.0,0.003677523191844962
2015,Polynesia,460.0,0.003713414791661285
2020,Polynesia,520.0,0.0036783230129256977
1990,Gabon,20.0,0.000273280006383821
1995,Gabon,10.0,0.00013122279833404783
2000,Gabon,20.0,0.00025035653900611207
2005,Gabon,30.0,0.00033789609447304486
2010,Gabon,30.0,0.0002786002418064365
2015,Gabon,50.0,0.00040363204257187876
2020,Gabon,63.0,0.0004456429804121518
1990,Gambia,18.0,0.00024595200574543887
1995,Gambia,9.0,0.00011810051850064305
2000,Gambia,30.0,0.0003755348085091681
2005,Gambia,80.0,0.0009010562519281197
2010,Gambia,100.0,0.0009286674726881218
2015,Gambia,130.0,0.0010494433106868848
2020,Gambia,138.0,0.000976170338045666
1990,Georgia,17.0,0.0002322880054262478
1995,Georgia,168.0,0.002204543012012004
2000,Georgia,290.0,0.0036301698155886248
2005,Georgia,400.0,0.004505281259640598
2010,Georgia,490.0,0.004550470616171797
2015,Georgia,620.0,0.005005037327891297
2020,Georgia,720.0,0.005093062633281735
1990,Germany,120247.0,1.643055046381766
1995,Germany,118256.0,1.5517883239791161
2000,Germany,111573.0,1.3966515063264473
2005,Germany,113451.0,1.2778216604687138
2010,Germany,115071.0,1.0686269474969485
2015,Germany,107617.0,0.8687533905091576
2020,Germany,109407.0,0.7739120882214651
1990,Ghana,977.0,0.013349728311849652
1995,Ghana,1608.0,0.021100625972114893
2000,Ghana,2141.0,0.026800667500604298
2005,Ghana,2793.0,0.031458126395440475
2010,Ghana,4183.0,0.03884616038254413
2015,Ghana,5867.0,0.04736218387538425
2020,Ghana,7157.0,0.05062645731444081
1990,Gibraltar,409.0,0.005588576130549138
1995,Gibraltar,447.0,0.005865659085531939
2000,Gibraltar,480.0,0.00600855693614669
2005,Gibraltar,490.0,0.005518969543059733
2010,Gibraltar,480.0,0.004457603868902984
2015,Gibraltar,490.0,0.003955594017204412
2020,Gibraltar,515.0,0.0036429545224167972
1990,Greece,128447.0,1.7550998489991323
1995,Greece,123189.0,1.6165205303973018
2000,Greece,110513.0,1.3833826097591233
2005,Greece,108521.0,1.2222940689436432
2010,Greece,101103.0,0.9389106749118717
2015,Greece,95638.0,0.7720512257497869
2020,Greece,99201.0,0.7017179253946965
1990,Greenland,0.0,0.0
1995,Greenland,0.0,0.0
2000,Greenland,0.0,0.0
2005,Greenland,0.0,0.0
2010,Greenland,0.0,0.0
2015,Greenland,0.0,0.0
2020,Greenland,0.0,0.0
1990,Grenada,89.0,0.0012160960284080032
1995,Grenada,92.0,0.0012072497446732403
2000,Grenada,130.0,0.0016273175035397284
2005,Grenada,130.0,0.0014642164093831944
2010,Grenada,130.0,0.0012072677144945583
2015,Grenada,140.0,0.0011301697192012607
2020,Grenada,150.0,0.0010610547152670282
1990,Guadeloupe,9.0,0.00012297600287271943
1995,Guadeloupe,4.0,5.2489119333619136e-05
2000,Guadeloupe,10.0,0.00012517826950305603
2005,Guadeloupe,20.0,0.00022526406298202991
2010,Guadeloupe,20.0,0.00018573349453762436
2015,Guadeloupe,20.0,0.00016145281702875154
2020,Guadeloupe,20.0,0.00014147396203560375
1990,Guam,40.0,0.000546560012767642
1995,Guam,36.0,0.0004724020740025722
2000,Guam,50.0,0.0006258913475152803
2005,Guam,80.0,0.0009010562519281197
2010,Guam,100.0,0.0009286674726881218
2015,Guam,120.0,0.0009687169021725092
2020,Guam,127.0,0.0008983596589260839
1990,Guatemala,170.0,0.002322880054262478
1995,Guatemala,230.0,0.0030181243616831006
2000,Guatemala,266.0,0.0033297419687812906
2005,Guatemala,297.0,0.0033451713352831438
2010,Guatemala,349.0,0.0032410494796815447
2015,Guatemala,473.0,0.0038183591227299732
2020,Guatemala,539.0,0.0038127232768595215
1990,Guinea.2,33.0,0.00045091201053330457
1995,Guinea.2,17.0,0.00022307875716788133
2000,Guinea.2,30.0,0.0003755348085091681
2005,Guinea.2,220.0,0.002477904692802329
2010,Guinea.2,660.0,0.006129205319741604
2015,Guinea.2,930.0,0.007507555991836945
2020,Guinea.2,1121.0,0.00792961557209559
1990,Guinea-Bissau,13.0,0.00017763200414948362
1995,Guinea-Bissau,11.0,0.00014434507816745264
2000,Guinea-Bissau,20.0,0.00025035653900611207
2005,Guinea-Bissau,20.0,0.00022526406298202991
2010,Guinea-Bissau,20.0,0.00018573349453762436
2015,Guinea-Bissau,20.0,0.00016145281702875154
2020,Guinea-Bissau,20.0,0.00014147396203560375
1990,Guyana,426.0,0.005820864135975387
1995,Guyana,492.0,0.006456161678035154
2000,Guyana,520.0,0.006509270014158914
2005,Guyana,560.0,0.0063073937634968375
2010,Guyana,600.0,0.005572004836128731
2015,Guyana,660.0,0.0053279429619488
2020,Guyana,709.0,0.005015251954162153
1990,Haiti,43.0,0.0005875520137252151
1995,Haiti,53.0,0.0006954808311704536
2000,Haiti,90.0,0.0011266044255275043
2005,Haiti,90.0,0.0010136882834191345
2010,Haiti,100.0,0.0009286674726881218
